index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
297,100,100,256,129.2936,192.5377,0.0000,255.0000,45.3681,1900,1.0000
298,31,10,236,669.2439,152.7464,0.0000,255.0000,68.5196,502,1.0000
299,32,14,55,1922.1893,88.2455,1.0000,255.0000,64.6230,382,0.9922
300,188,64,1,0.0000,0.0000,0.0000,255.0000,0.0000,2357,1.0000
301,193,261,256,1341.9827,216.0835,0.0000,255.0000,67.7541,5359,1.0000
302,100,100,256,574.8619,123.5934,0.0000,255.0000,64.8015,2900,1.0000
303,100,100,256,1154.1161,108.9634,0.0000,255.0000,45.9492,3297,1.0000
304,100,100,253,174.8195,231.9500,0.0000,255.0000,43.3442,1366,1.0000
305,100,100,256,483.0737,216.8693,0.0000,255.0000,52.2595,1923,1.0000
306,100,100,254,1862.5603,193.8391,0.0000,255.0000,59.0748,3017,1.0000
307,100,100,256,452.2949,201.0339,0.0000,255.0000,52.7948,3091,1.0000
308,100,100,256,89.5690,208.9872,0.0000,255.0000,38.2618,1704,1.0000
309,100,100,256,1693.4819,101.7860,0.0000,255.0000,58.8838,3916,1.0000
310,258,195,217,163.0116,225.5860,13.0000,255.0000,34.5366,3479,0.9030
311,275,183,256,1610.2396,144.9433,0.0000,255.0000,67.9150,11144,1.0000
312,100,100,256,3300.5598,159.7883,0.0000,255.0000,72.3376,5312,1.0000
313,225,225,214,4910.9053,219.3608,0.0000,255.0000,75.6779,6403,1.0000
314,100,100,256,1151.4973,209.0344,0.0000,255.0000,72.7175,2151,1.0000
315,100,100,256,1065.9325,106.8121,0.0000,255.0000,57.8424,3363,1.0000
316,100,100,256,254.8632,187.5985,0.0000,255.0000,59.0827,1900,1.0000
317,262,192,256,180.2130,227.9032,0.0000,255.0000,47.1447,3423,1.0000
318,225,225,256,302.3579,216.5650,0.0000,255.0000,61.1810,4068,1.0000
319,271,186,256,1171.3387,189.6379,0.0000,255.0000,59.8256,6995,1.0000
320,183,276,256,900.2489,191.7495,0.0000,255.0000,59.9034,6097,1.0000
321,188,268,256,955.8445,169.5352,0.0000,255.0000,63.8051,9127,1.0000
