from,to,distance
157,2085,0.949257
2015,225,0.949190
778,1338,0.949016
1338,778,0.949016
2122,251,0.948910
251,1049,0.948910
1049,251,0.948910
251,2122,0.948910
1522,1499,0.948787
1499,1522,0.948787
1903,1240,0.948774
1240,1903,0.948774
936,1903,0.948774
2072,2059,0.948682
2059,2072,0.948682
1551,437,0.948150
1610,93,0.948149
93,1610,0.948149
1610,235,0.947885
235,1610,0.947885
1273,58,0.947865
58,1273,0.947865
458,234,0.947445
234,458,0.947445
1285,1271,0.947445
1846,262,0.947186
164,1846,0.947100
190,1846,0.947100
727,898,0.946952
1501,1937,0.946665
1937,1501,0.946665
1574,1857,0.946514
1857,1574,0.946514
171,1884,0.946322
1551,207,0.946145
1962,1847,0.946083
1883,1871,0.945610
1871,1883,0.945610
1285,1399,0.945366
1962,1979,0.945332
253,1605,0.944943
1965,1996,0.944639
1955,1916,0.944627
2151,774,0.944591
774,2151,0.944591
214,474,0.944305
474,214,0.944305
1422,1487,0.943801
1682,1605,0.943401
1198,233,0.943274
233,1198,0.943274
2047,778,0.943242
778,2047,0.943242
1984,1996,0.943149
1256,1289,0.943073
825,1628,0.943025
1628,825,0.943025
105,123,0.943014
123,105,0.943014
253,2027,0.942824
1800,145,0.942406
145,1800,0.942406
215,732,0.942091
732,215,0.942091
215,774,0.942027
831,1658,0.941919
1658,831,0.941919
11,732,0.941837
1604,1549,0.941685
1677,612,0.941674
612,1677,0.941674
2062,2036,0.941546
2036,2062,0.941546
1955,1980,0.941455
1990,1867,0.941372
333,707,0.940850
707,333,0.940850
1242,1260,0.940720
171,182,0.940608
862,874,0.940463
874,862,0.940463
862,835,0.940232
278,253,0.940193
940,2163,0.939478
2163,940,0.939478
330,1510,0.938860
1510,330,0.938860
121,198,0.938420
1422,58,0.938306
1436,1409,0.938300
1409,1436,0.938300
350,2016,0.937906
2016,350,0.937906
1310,1229,0.937886
1857,1034,0.937416
1292,500,0.937402
500,1292,0.937402
1310,1158,0.937166
214,344,0.936566
344,214,0.936566
308,9,0.936229
9,308,0.936229
416,759,0.936148
759,416,0.936148
2005,1587,0.936120
1248,936,0.936102
727,835,0.935957
1900,2029,0.935407
146,1781,0.935329
1781,146,0.935329
1677,1591,0.935280
1591,1677,0.935280
317,2151,0.934833
2151,317,0.934833
2054,831,0.934757
474,11,0.934734
11,474,0.934734
1475,1338,0.934497
1338,1475,0.934497
661,350,0.934395
350,661,0.934395
208,2036,0.933889
531,474,0.933296
368,370,0.933260
370,368,0.933260
9,214,0.933040
531,9,0.932969
370,307,0.932712
307,370,0.932712
707,785,0.932493
785,707,0.932493
2059,1682,0.930967
1550,1658,0.930737
344,531,0.930567
549,472,0.930178
472,549,0.930178
2138,422,0.930170
422,2138,0.930170
1510,2117,0.929995
2117,1510,0.929995
2005,236,0.929970
749,1292,0.929740
1292,749,0.929740
432,2150,0.929725
2150,432,0.929725
1475,778,0.929189
1654,116,0.929153
77,59,0.929131
59,77,0.929131
669,1161,0.929024
1344,1315,0.928905
1443,1315,0.928905
1493,1351,0.928339
1369,1351,0.928339
1930,1947,0.928331
1947,1930,0.928331
500,749,0.928237
749,500,0.928237
686,737,0.927981
737,686,0.927981
169,185,0.927969
185,169,0.927969
2118,214,0.927833
396,9,0.927787
1983,1149,0.927743
424,2106,0.927724
2106,424,0.927724
1971,1862,0.927156
1862,1971,0.927156
367,1717,0.927033
1717,367,0.927033
1829,185,0.926993
185,1829,0.926993
2080,500,0.926562
362,1632,0.926547
1632,362,0.926547
218,531,0.926542
1056,813,0.926534
813,1056,0.926534
317,9,0.926457
66,54,0.926291
66,73,0.926291
338,317,0.925987
333,778,0.925734
1432,1487,0.925639
362,1099,0.925494
1099,362,0.925494
2103,2096,0.925328
2096,2103,0.925328
2150,317,0.925133
